"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 30 22:16:40 BRT 2023","Tue May 30 22:16:40 BRT 2023","3","","Create user account with Email: Create user account - with Email","","","","Then the account will be created",""
"passed","Tue May 30 22:14:56 BRT 2023","Tue May 30 22:15:10 BRT 2023","13614","","Create user account with Email: Create user account - with Email","","","","Given the user is on the login page",""
"passed","Tue May 30 22:15:54 BRT 2023","Tue May 30 22:15:59 BRT 2023","5012","","Create user account with Email: Create user account - with Email","","","","And to choose to create a new account with ""email""",""
"passed","Tue May 30 22:14:57 BRT 2023","Tue May 30 22:14:57 BRT 2023","501","","Create user account with Email: Create user account - with Email","","","","When login with ""standard_user"" and ""secret_sauce""",""
"passed","Tue May 30 22:15:29 BRT 2023","Tue May 30 22:15:29 BRT 2023","4","","Create user account with Email: Create user account - with Email","","","","Then the Sauce Labs home page will be displayed",""
"passed","Tue May 30 22:16:40 BRT 2023","Tue May 30 22:16:40 BRT 2023","1","","Create user account with Email: Create user account - with Email","","","","",""
"passed","Tue May 30 22:15:59 BRT 2023","Tue May 30 22:16:10 BRT 2023","11037","","Create user account with Email: Create user account - with Email","","","","When to inform the work email: ""usertestautomation@outlook.com"", username: ""usertest2_automation"" and password ""Test2469@""",""
"passed","Tue May 30 22:15:29 BRT 2023","Tue May 30 22:15:54 BRT 2023","24463","","Create user account with Email: Create user account - with Email","","","","When user clicks Try Free",""
"passed","Tue May 30 22:15:10 BRT 2023","Tue May 30 22:15:29 BRT 2023","19543","","Create user account with Email: Create user account - with Email","","","","And select the About option from the menu",""
"passed","Tue May 30 22:16:10 BRT 2023","Tue May 30 22:16:40 BRT 2023","30605","","Create user account with Email: Create user account - with Email","","","","And to click Sign Up",""
